country,region,population,electoral_comp,globalization,monarchy,presidential,democracy,gdp_per_capita,rain_avg,temp_avg,climate_laws_policies,co2_per_capita,co2_growth_rate,ag_land_pct,forest_land_pct,nat_disaster_damage,nat_disaster_affected,nat_disaster_deaths,nat_disaster_n
Peru,Latin America,30711863,3,68.753937,0,1,1,11445,125.225,20.2833333333333,1,1.72743190236244,21.8766190266038,18.2299995422363,57.1800003051758,94000,351205,30,3
Philippines,South-East Asia,103031365,3,64.047203,0,1,1,7047,187.758333333333,26.0166666666667,2,1.14696532119663,26.4596536084421,41.7200012207031,23.5200004577637,1965966,4015770,201,16
Poland,Eastern Europe/Former USSR,37986412,3,80.66275,0,1,1,24177,42.75,9.86666666666667,1,7.52003900763252,67.5443298741853,46.9300003051758,30.7700004577637,0,1200,78,2
Portugal,"Western Europe, North America, Australia, New Zealand",10358076,3,82.760147,0,1,1,24915,45.8583333333333,16.025,1,4.75559466835347,60.7468571344577,39.7200012207031,36.1500015258789,0,0,1,1
Guinea-Bissau,Sub-Saharan Africa,1788919,3,42.29686,0,1,1,1393,135.983333333333,27.625,0,0.160425788135174,36.9247889413956,28.0900001525879,71.9100036621094,NA,NA,NA,NA
Qatar,North Africa and Middle East,2414573,0,74.311783,1,0,0,156029,3.65,28.55,0,41.6421622085115,14.091034378435,5.90000009536743,0,NA,NA,NA,NA
Romania,Eastern Europe/Former USSR,19815616,3,78.837547,0,0,1,19320,51.25,10.758333333333301,0,3.61914153968264,100,60.2299995422363,29.9899997711182,0,1500,1,1
Russia,Eastern Europe/Former USSR,144096870,2,71.542717,0,1,0,23691,37.875,-4.25833333333333,0,11.7852203798736,54.2193596250669,13.1599998474121,49.7599983215332,136820,6500,31,2
Rwanda,Sub-Saharan Africa,11642959,2,50.410973,0,1,0,1693,102.725,19.2833333333333,0,0.0845059372045438,20.7175563364907,73.4400024414062,10.9399995803833,0,3425,2,1
St Kitts and Nevis,The Caribbean,47790,3,49.702797,1,0,1,NA,107.175,25.4583333333333,0,4.58339192250605,50.06961497526,23.0799999237061,42.310001373291,NA,NA,NA,NA
St Lucia,The Caribbean,175623,3,54.218258,1,0,1,10185,142.991666666667,26.6666666666667,0,2.29282181257886,50.161481429346,17.3799991607666,34.0499992370605,NA,NA,NA,NA
St Vincent and the Grenadines,The Caribbean,106482,3,50.217037,1,0,1,NA,94.55,27.7583333333333,1,2.01579506724814,62.892278227411,17.9500007629395,73.1800003051758,NA,NA,NA,NA
Sao Tome and Principe,Sub-Saharan Africa,201124,3,44.168041,0,1,1,3545,153.375,23.3666666666667,0,0.570003810822737,28.7538242494869,45.8300018310547,57.2900009155273,NA,NA,NA,NA
Saudi Arabia,North Africa and Middle East,32749848,0,65.157951,1,0,0,51681,5.68333333333333,25.9,0,20.4022516221007,27.9573881429778,80.7699966430664,0.449999988079071,2000,0,23,2
Senegal,Sub-Saharan Africa,14356181,3,59.853493,0,1,1,2311,60.825,28.8833333333333,1,0.729704490714691,8.56330462312262,46.0900001525879,42.939998626709,NA,NA,NA,NA
Seychelles,Sub-Saharan Africa,93419,2,61.464149,0,1,0,25690,167.841666666667,28.0916666666667,2,5.25993641550434,100,3.36999988555908,73.2600021362305,NA,NA,NA,NA
Sierra Leone,Sub-Saharan Africa,7314773,3,45.648884,0,1,1,1563,209.416666666667,26.6833333333333,2,0.148788315085764,9.8638513813582,54.7099990844727,36.4900016784668,0,24303,10,1
Singapore,South-East Asia,5535002,2,81.463135,0,0,0,65660,150.033333333333,27.8833333333333,0,11.1023602159493,10.9256078277753,0.930000007152557,23.2299995422363,NA,NA,NA,NA
Slovakia,Eastern Europe/Former USSR,5423801,3,81.896347,0,1,1,24588,57.2916666666667,9.325,0,5.76775899410764,79.6264667210748,39.2799987792969,39.9700012207031,NA,NA,NA,NA
Vietnam,South-East Asia,92191398,1,62.502438,0,0,0,5763,152.658333333333,25.1166666666667,1,2.03210755160208,20.8232652973739,39.1800003051758,45.3499984741211,6966800,1765100,52,5
Slovenia,Eastern Europe/Former USSR,2063531,3,79.69857,0,0,1,26268,116.641666666667,10.275,0,6.07218355333649,68.9105396725609,30.6100006103516,61.9599990844727,NA,NA,NA,NA
South Africa,Sub-Saharan Africa,55876504,2,70.173477,0,1,0,12246,30.6416666666667,18.9166666666667,1,8.37665534191835,55.6004723467299,79.4199981689453,14.210000038147,250000,2700000,0,1
Zimbabwe,Sub-Saharan Africa,14154937,2,52.028797,0,1,0,1560,36.475,22.25,0,0.891623872056209,38.1633435178929,41.8800010681152,45.689998626709,0,0,10,1
Spain,"Western Europe, North America, Australia, New Zealand",46444832,3,84.793312,1,0,1,31847,39.7916666666667,14.425,2,5.39341894917394,62.8876542895782,53.189998626709,37.1300010681152,2000,150,8,2
Suriname,The Caribbean,575475,3,46.799541,0,1,1,NA,199.416666666667,26.45,1,3.0824164425113,44.7011566976111,0.560000002384186,97.7699966430664,NA,NA,NA,NA
Eswatini,Sub-Saharan Africa,1133936,2,44.890553,1,0,0,7969,61.6333333333333,21.475,1,0.890142059555597,46.4350803673523,71.0500030517578,28.5799999237061,NA,NA,NA,NA
Sweden,"Western Europe, North America, Australia, New Zealand",9799186,3,89.560448,1,0,1,43746,58.65,3.375,0,3.89632404160917,67.5273692584084,7.46000003814697,68.6900024414062,NA,NA,NA,NA
Switzerland,"Western Europe, North America, Australia, New Zealand",8282396,3,90.384247,0,1,1,59307,111.616666666667,6.96666666666667,0,4.30703579012643,71.1859984293205,38.439998626709,31.6800003051758,NA,NA,NA,NA
Syria,North Africa and Middle East,19205178,2,47.422882,0,1,0,3049,21.7916666666667,18.8333333333333,0,1.6277712323908,NA,75.8099975585938,2.83999991416931,0,0,13,2
Tajikistan,Eastern Europe/Former USSR,8524063,2,46.540661,0,1,0,3789,48.0916666666667,4.2,0,0.592079302316008,34.7892269605804,34.1399993896484,3.03999996185303,5000,18764,12,4
Thailand,South-East Asia,70294397,0,69.926079,1,0,0,15020,113.683333333333,27.2333333333333,5,4.13835221791799,38.963759267199,43.2799987792969,39.2700004577637,3300561,0,3,2
Togo,Sub-Saharan Africa,7473229,2,50.155685,0,1,0,1370,87.625,27.7083333333333,1,0.360032242920336,22.4077864162775,70.2300033569336,22.5100002288818,0,0,24,1
Tonga,The Pacific,106122,3,45.938599,1,0,1,NA,128.041666666667,24.3916666666667,1,1.20073228088628,59.8241536143346,48.6100006103516,12.4300003051758,0,0,0,1
Trinidad and Tobago,The Caribbean,1460177,3,63.188007,0,0,1,30702,106.933333333333,26.7916666666667,0,33.7550849139768,50.2059913522625,10.5299997329712,44.8899993896484,NA,NA,NA,NA
United Arab Emirates,North Africa and Middle East,8916899,0,74.116425,1,0,0,74746,5.325,28.1,2,21.0263924904727,23.2916648719817,5.3899998664856,4.46999979019165,NA,NA,NA,NA
Tunisia,North Africa and Middle East,11557779,3,66.446968,0,1,1,11060,23.6083333333333,20.575,1,2.70598282693418,48.4654951893143,63.2999992370605,4.46999979019165,NA,NA,NA,NA
Turkey,North Africa and Middle East,79646178,3,71.247894,0,1,1,19836,52.1583333333333,11.7333333333333,0,4.46123115481488,37.9262718189716,50.0900001525879,28.1000003814697,0,5000,17,2
Turkmenistan,Eastern Europe/Former USSR,5766431,2,40.968796,0,1,0,22675,14.8333333333333,16.6,0,12.6990918887022,32.1282537613137,72.0100021362305,8.77999973297119,NA,NA,NA,NA
Uganda,Sub-Saharan Africa,37477356,2,50.888798,0,1,0,1954,109.458333333333,23.1666666666667,1,0.139771240905896,10.7633297272249,71.8899993896484,12.6899995803833,NA,NA,NA,NA
Ukraine,Eastern Europe/Former USSR,45154036,3,73.45195,0,1,1,8961,41.2833333333333,10.35,0,4.34697596024417,62.5891877381012,71.6500015258789,16.6700000762939,NA,NA,NA,NA
North Macedonia,Eastern Europe/Former USSR,2070226,3,68.4702,0,1,1,12371,58.4333333333333,11.025,1,3.41423382939103,91.68928285818,50.0400009155273,39.4300003051758,87000,105000,7,2
Egypt,North Africa and Middle East,97723799,0,63.606812,0,1,0,11159,2.925,23.2916666666667,2,2.42941973461636,48.2507973365171,3.80999994277954,0.0500000007450581,100000,100,141,3
United Kingdom,"Western Europe, North America, Australia, New Zealand",65116219,3,89.023857,1,0,1,36941,106.941666666667,9.00833333333333,1,6.22023961495676,84.9853737757071,70.8399963378906,13.039999961853,2400000,63600,3,2
Tanzania,Sub-Saharan Africa,52542823,2,50.63681,0,1,0,2566,83.6083333333333,22.9666666666667,2,0.251220814599751,4.25423448862546,44.7599983215332,54.2900009155273,0,5000,641,4
United States,"Western Europe, North America, Australia, New Zealand",320738994,3,81.354683,0,1,1,52591,62.5333333333333,8.40833333333333,2,15.989866258056,69.0917071342482,44.2400016784668,33.9000015258789,21474000,33600,319,29
Burkina Faso,Sub-Saharan Africa,18718019,2,51.11116,0,1,0,1450,66.6083333333333,28.8833333333333,1,0.183849877287497,10.9678555315992,44.2299995422363,23.6299991607666,31000,28871,8,1
Uruguay,Latin America,3402818,3,72.390175,0,1,1,19244,106.133333333333,18.3333333333333,1,1.96353790391526,46.4407954168989,81.6699981689453,10.9700002670288,0,28326,0,3
Uzbekistan,Eastern Europe/Former USSR,31298900,2,42.838802,0,1,0,9720,20.125,13.9416666666667,1,3.2885827616945,73.5688508069675,58.1100006103516,8.0600004196167,NA,NA,NA,NA
Venezuela,Latin America,30529716,3,52.555882,0,1,1,18802,142.1,26.4166666666667,0,5.71422342703963,50.9974915475587,24.3799991607666,52.9300003051758,0,45297,0,1
Samoa,The Pacific,203571,2,50.198986,0,0,0,NA,297.425,27.3833333333333,0,1.21277640261895,37.6587205075599,26.7199993133545,57.9799995422363,0,0,0,1
Yemen,North Africa and Middle East,28516545,0,46.635925,0,1,0,2844,14.325,24.0333333333333,0,0.497091070160344,56.8807996404238,44.3800010681152,1.03999996185303,200000,128026,29,3
Zambia,Sub-Saharan Africa,16248230,3,55.775517,0,1,1,3478,75.1,22.4166666666667,4,0.285427858211675,0.439425054772059,32.060001373291,61.5499992370605,NA,NA,NA,NA
